id	idolId	name	evolutionName	rarity	attribute	type	appeal	stamina	technique	skillId	skillTitle	skillFields	conditionFields	personalSkillIds	skillFields1	conditionFields1	skillFields2	conditionFields2
1	honoka	動物園で対決！	はいからロマンス	UR	elegant	guard	7956	11934	6630	damageReduction_probability_none	ロマンにときめいて	10,14	33	staminaPlus_passive_friends,staminaRecovery_acStart_none	5.2		stamina,20	30
2	eri	エリーチカ先生のボウリング講座	エターナルプロミス	UR	pure	guard	9282	5304	11934	staminaRecovery_probability_none	青い薔薇のおまじない☆	stamina,32	33	staminaPlus_passive_sameTeam,revival_musicStart_none	7		15	30
3	kotori	あなたとの初めての思い出	ラブリーポリス	UR	cool	voltage	7956	7956	10608	voltageUp_probability_everyone	バード・ジェイル	5,6.2	33	appealPlus_passive_everyone,appealUp_spSkill_everyone	4.2		15,10	50
4	umi	大和撫子パニック	夏祭りシンフォニー	UR	smile	sp	11934	5304	9282	spGaugeGainUp_probability_everyone	うみの輝き	10,6.2	33	techniquePlus_passive_sameAttribute,spGaugeGainUp_changeTeam_everyone	5.2		15,10	30
5	rin	凛がいるから大丈夫！	月光の踊り子	UR	natural	sp	8751	8751	9016	skillInvocationUp_probability_everyone	月猫夜(ゲッビョウヤ)	5,4	33	techniquePlus_passive_sameTeam,spGaugeGainPlus_acStartOnce_everyone	7		5	30
6	maki	「真姫ちゃんと映画デート」	スカーレットロワイヤル	UR	cool	skill	12729	4508	9282	appealUp_probability_everyone	内緒のTRICK	5,6.2	33	appealPlus_passive_sameAttribute,skillInvocationPlus_acSuccessOnce_everyone	5.2		1.7	30
7	nozomi	星空の下で	スイートナイトパレード	UR	smile	skill	7956	11934	6630	skillInvocationUp_probability_everyone	魔法に魅せられて	5,4	33	techniquePlus_passive_everyone,skillInvocationPlus_acStartOnce_everyone	4.2		1.7	30
8	hanayo	これからが本番！	チェリーフラッター	UR	active	guard	7956	7956	10608	shieldGain_probability_none	花と太陽の子	stamina,32	33	staminaPlus_passive_everyone,spGaugeGainRate_musicStart_none	4.2		appeal,10	30
9	niko	サプライズプレゼント	My Sweet Devil	UR	elegant	voltage	7956	10077	8486	voltageGain_probability_none	ハートににこにこにー	appeal,37	33	appealPlus_passive_sameTeam,appealPlus_acStartOnce_everyone	7		5	30
10	chika	浜辺をさんぽ	サマーアドベンチャー	UR	active	skill	5304	12729	8486	skillInvocationUp_probability_sameTeam	心が輝くほうへ！	5,5	33	staminaPlus_passive_friends,damageReductionPlus_musicStart_none	5.2		2.2	30
11	riko	水のシンフォニー	ロイヤルエンジェル	UR	pure	guard	7956	7956	10608	damageReduction_probability_none	天界からの使者	10,14	33	staminaPlus_passive_everyone,deactivation_changeTeam_everyone	4.2			30
12	kanan	そろそろ一緒に潜ってみる？	海神の巫女	UR	natural	voltage	11934	5304	9282	appealUp_probability_sameTeam	夏色メロディー	5,9	33	appealPlus_passive_everyone,appealPlus_acSuccessOnce_everyone	4.2		5.2	30
13	dia	内緒ですわよ	巫女舞ステップ	UR	elegant	skill	11934	5304	9282	spSkillUp_probability_none	内浦の神楽舞	appeal,32	33	techniquePlus_passive_sameAttribute,appealPlus_acSuccessOnce_everyone	5.2		5	30
14	you	水族館デート	ラビットインワンダーランド	UR	cool	guard	9282	5304	11934	staminaRecovery_probability_none	何でもない日を祝おうよ	stamina,32	33	staminaPlus_passive_sameTeam,staminaRecovery_damage_none	7		stamina,20	1000,40
15	yoshiko	エンジェルスナイパー	ホーンテッドプリンセス	UR	elegant	sp	9282	5304	11934	spGaugeGainRate_probability_none	トリック・オア・フォールン	sp,9	33	techniquePlus_passive_sameTeam,spGaugeGainUp_musicStart_everyone	7		15,10	30
16	hanamaru	紙越しの緑	ドリーミングシープ	UR	pure	sp	7956	5304	13260	spSkillUp_probability_none	夢みたいずら～	appeal,32	33	techniquePlus_passive_everyone,spGaugeGainRate_musicStart_none	4.2		appeal,10	30
17	mari	初めてのツーショット	Bitter & Sweet	UR	natural	voltage	8751	8751	9016	voltageGain_probability_none	ローズショコラ	appeal,37	33	appealPlus_passive_sameAttribute,skillInvocationUp_acSuccess_everyone	5.2		10,10	50
18	ruby	夢のスイートポテト	ファンタスティックピエロ	UR	active	skill	7956	11934	6630	shieldGain_probability_none	みんなを笑顔に！	stamina,32	33	appealPlus_passive_sameTeam,appealPlus_musicStart_everyone	7		5	30
19	honoka	ことりちゃんと食べるパン	フレッシュフルーツパーラー	SR	pure	skill	6528	4896	4896	spSkillUp_probability_none	夢をかなえる力	appeal,22	30	techniquePlus_passive_sameAttribute,voltageGain_acSuccess_none	3.2		appeal,30	30
20	eri	あなたのことを知りたくて	フレッシュフルーツパーラー	SR	elegant	voltage	6528	4896	4896	voltageGain_probability_none	マトリョーシカパワー	appeal,37	30	appealPlus_passive_sameType,appealUp_acSuccess_everyone	3.2		10,8	50
21	kotori	眠れない日々	フレッシュフルーツパーラー	SR	smile	guard	5385	5385	5548	shieldGain_probability_none	ふわふわマカロン	stamina,27	30	staminaPlus_passive_sameAttribute,staminaRecovery_damage_none	3.2		stamina,15	2000,40
22	umi	ほたる玉は海未の色	フレッシュフルーツパーラー	SR	natural	guard	4896	6528	4896	staminaRecovery_probability_none	Blue Ocean	stamina,32	30	staminaPlus_passive_myself,staminaRecovery_acSuccess_none	7		stamina,20	30
23	rin	至福の昼下がり	フレッシュフルーツパーラー	SR	cool	skill	4896	3264	8160	skillInvocationUp_probability_sameTeam	S＾・ω・＾EeT CaT	5,4	30	techniquePlus_passive_myself,skillInvocationUp_acSuccess_everyone	7		10,8	50
24	maki	どっちが子ども？	フレッシュフルーツパーラー	SR	active	sp	4896	4080	7344	spGaugeGainRate_probability_none	不慣れな指先	sp,7	30	techniquePlus_passive_sameType,spGaugeGainUp_acSuccess_everyone	4.2		10,8	30
25	nozomi	ため息なんか吹きとばせ！	フレッシュフルーツパーラー	SR	elegant	voltage	5712	3264	7344	appealUp_probability_everyone	たべていってな♪	5,4.2	30	appealPlus_passive_sameAttribute,voltageGain_acSuccess_none	3.2		appeal,30	30
26	hanayo	今までも、これからも	フレッシュフルーツパーラー	SR	smile	voltage	5385	5385	5548	voltageGain_probability_none	あなたのおかげだよ	appeal,37	30	appealPlus_passive_myself,appealUp_musicStart_everyone	7		10,8	30
27	niko	本日のラッキーアイテム	フレッシュフルーツパーラー	SR	natural	guard	4896	6528	4896	damageReduction_probability_none	虜になっても知らないわよっ	10,11	30	staminaPlus_passive_sameType,deactivation_spSkill_everyone	3.2			50
28	chika	素直なキモチ	ハピネスチアガール	SR	pure	voltage	6528	4896	4896	voltageUp_probability_sameType	想いを言葉に	5,6.2	30	appealPlus_passive_sameType,appealUp_acFailed_friends	4.2		10,10	80
29	riko	リトルデーモンリリー	ハピネスチアガール	SR	elegant	sp	2774	7833	5712	spGaugeGainRate_probability_none	私がついてるわ	sp,7	30	techniquePlus_passive_myself,spSkillUp_acStart_none	7		appeal,8	30
30	kanan	大切な思い出	ハピネスチアガール	SR	cool	sp	4896	5712	5712	spGaugeGainUp_probability_everyone	何度でも応援するよ	5,4.2	30	staminaPlus_passive_sameTeam,spGaugeGainRate_spSkill_none	5		appeal,8	30
31	dia	あなたという人は！	ハピネスチアガール	SR	smile	guard	4896	6528	4896	staminaRecovery_probability_none	あなたに送る言葉です！	stamina,32	30	staminaPlus_passive_myself,staminaRecovery_acFailed_none	7		stamina,20	50
32	you	放課後ホリデー	ハピネスチアガール	SR	pure	sp	4896	4080	7344	spSkillUp_probability_none	一人じゃないよ	appeal,22	30	techniquePlus_passive_sameType,spGaugeGainUp_musicStart_everyone	3.7		10,8	30
33	yoshiko	正座対決	ハピネスチアガール	SR	smile	skill	4896	4080	7344	criticalRateUp_probability_sameTeam	堕天使の裁き	10,7	30	appealPlus_passive_sameTeam,skillInvocationUp_changeTeam_everyone	5		10,8	30
34	hanamaru	二人は親友	ハピネスチアガール	SR	natural	skill	5385	5385	5548	criticalUp_probability_sameTeam	それが仲間ずら	5,7	30	staminaPlus_passive_myself,appealPlus_musicStart_everyone	7		3	30
35	mari	一番ちかくに	ハピネスチアガール	SR	active	skill	7833	2774	5712	skillInvocationUp_probability_sameAttribute	この空はつながってるよ！	5,4	30	techniquePlus_passive_sameTeam,criticalPlus_musicStart_everyone	5		3	30
36	ruby	姉妹の休日	ハピネスチアガール	SR	cool	voltage	4896	4896	6528	voltageGain_probability_none	なんか恥ずかしい…	appeal,37	30	appealPlus_passive_sameType,skillInvocationUp_acFailed_friends	3.7		10,8	80
37	ayumu	食べ過ぎ注意報	夢への一歩	SR	active	guard	3264	7833	5222	staminaRecovery_probability_none	日進月歩	stamina,32	30	staminaPlus_passive_sameTeam,revival_musicStart_none	5		10	30
38	kasumi	楽しみなご褒美！	ダイアモンド	SR	active	skill	5385	5712	5222	voltageGain_probability_none	ミルキーハニー	appeal,37	30	staminaPlus_passive_myself,skillInvocationUp_acStart_everyone	7		10,8	30
39	shizuku	女優を夢見て	あなたの理想のヒロイン	SR	pure	sp	4896	4080	7344	spGaugeGainRate_probability_none	ブルードロップ	sp,7	30	appealPlus_passive_sameAttribute,criticalPlus_musicStart_everyone	3.2		3	30
40	karin	教えてあげる	Starlight	SR	smile	skill	6528	4896	4896	skillInvocationUp_probability_sameAttribute	シークレットレディ	5,4	30	techniquePlus_passive_sameTeam,spGaugeGainUp_acStart_everyone	5		10,8	30
41	ai	愛のメモリー	めっちゃGoing!!	SR	natural	guard	4896	4896	6528	damageReduction_probability_none	愛！LOVE！YOU！	10,11	30	techniquePlus_passive_myself,damageReductionPlus_musicStart_none	7		1.2	30
42	kanata	夢見心地のティータイム	眠れる森に行きたいな	SR	natural	sp	5385	5385	5548	spGaugeGainRate_probability_none	ドリームジャーニー	sp,7	30	staminaPlus_passive_sameAttribute,criticalPlus_musicStart_everyone	3.2		3	30
43	setsuna	もっと教えてください！	CHASE!	SR	elegant	guard	4896	6528	4896	skillInvocationUp_probability_everyone	パッションレッド！	5,3	30	appealPlus_passive_sameTeam,staminaRecovery_acFailed_none	5		stamina,20	50
44	emma	ぽかぽか天使	Evergreen	SR	elegant	voltage	4896	6201	5222	appealUp_probability_sameTeam	虹に願いを	5,7	30	techniquePlus_passive_sameAttribute,appealPlus_musicStart_everyone	3.2		3	30
45	rina	はい！チーズ	ドキピポ☆エモーション	SR	pure	voltage	6528	4896	4896	voltageGain_probability_none	繋がるメロディー	appeal,37	30	appealPlus_passive_myself,appealUp_acStart_everyone	7		10,8	30
46	honoka	音ノ木坂学院2年生	笑顔でいっぱいの女の子	R	smile	voltage	3166	2638	4750		ファイトだよっ							
47	honoka	μ’ｓのリーダー	飽くなき挑戦	R	active	sp	3625	4229	4229		スクールアイドル革命							
48	eri	音ノ木坂学院3年生	才色兼備の生徒会長	R	cool	sp	3482	3482	3587		ハラショー							
49	eri	μ’ｓのムードメーカー	かしこい、かわいい、エリーチカ	R	smile	skill	3625	3020	5437		凛とした佇まい							
50	kotori	音ノ木坂学院2年生	幻のミナリンスキー	R	pure	sp	3166	4222	3166		サイズ測りますよ～♪							
51	kotori	μ’ｓの衣装担当	おっとり優等生	R	natural	skill	4834	3625	3625		私には私の役目がある							
52	umi	音ノ木坂学院2年生	スクールアイドル兼弓道部員	R	cool	skill	3482	3482	3587		特訓です！							
